optimizer,model_id,seed,delta_hv_auc,delta_hv_5,delta_hv_10,delta_hv_20,delta_igd_final,delta_valid_rate
random,i01o_m1,11,-0.0007075493372148411,0.0,0.0,0.0,0.0,0.0
random,i01o_m1,12,0.004638249056644783,0.007642823657174724,0.007703837519282275,0.0,0.0,0.0
random,i01o_m1,13,-0.0018745606149506155,-0.007664223565706063,0.0,0.0,0.0,0.0
random,i02o_m2,11,0.01100536620480419,0.014102946602866484,0.0,0.0,0.0,0.0
random,i02o_m2,12,0.01764867349196464,0.033627898335462314,0.025803719192041275,2.2937173926873555e-07,0.0,0.0
random,i02o_m2,13,-0.0039524954583501914,-0.013899148721302157,0.0,0.0,0.0,0.0
random,i03o_m3,11,0.011291330225300489,0.0,0.0,0.0,0.0,0.0
random,i03o_m3,12,0.014887893709649935,0.01601135694495137,0.011969513685308741,1.3994200708244975e-06,0.0,0.0
random,i03o_m3,13,0.0014335788262671567,0.005923424736446359,0.0,0.0,0.0,0.0
random,i04o_m4,11,0.004933035590432788,0.0,0.0,0.0,0.0,0.0
random,i04o_m4,12,0.017917986435514677,0.033367320503980946,0.026299129802977328,2.526477260578197e-05,0.0,0.0
random,i04o_m4,13,-0.00653310417833175,-0.027591658372953853,0.0,0.0,0.0,0.0
random,i05o_m5,11,0.00391272131955267,0.0006681519232779598,8.148078200986841e-05,8.148078200997944e-05,0.0,0.0
random,i05o_m5,12,0.0044683486485632695,0.009901265519345226,0.0014202209133823418,0.0001779965262449501,0.0,0.0
random,i05o_m5,13,0.00213139361840331,0.008999217499924494,0.0,0.0,0.0,0.0
random,i06o_m6,11,0.0022047975242769358,0.0,0.0,0.0,0.0,0.0
random,i06o_m6,12,-0.004481605573079639,-0.017020683931183056,0.0,0.0,0.0,0.0
random,i06o_m6,13,-0.001822269727768222,-0.007639876156588676,-8.707283951303602e-06,0.0,0.0,0.0
random,i07o_m7,11,0.02523374439658843,0.0,0.0,0.0,0.0,0.04999999999999993
random,i07o_m7,12,0.018395980895242414,0.023298541673954953,0.023298541673954953,0.0006533103237649218,0.0,0.0
random,i07o_m7,13,0.0012361794800921366,0.003576964317014486,0.0007150758615658281,0.0,0.0,0.0
random,i08o_m8,11,-0.0012082168007367944,0.0,0.0,0.0,0.0,-0.050000000000000044
random,i08o_m8,12,-0.04245307337336701,0.0,0.0,0.0,0.0,-0.050000000000000044
random,i08o_m8,13,-0.04405495468427689,0.0,0.0,-0.1176964526546529,0.10809563884815908,-0.050000000000000044
random,i09o_m9,11,0.018414960504949174,0.0,0.0,0.0,0.0,0.0
random,i09o_m9,12,0.007648525712693588,0.012595012009741002,2.9867696263785604e-05,0.0,0.0,0.0
random,i09o_m9,13,-0.019492404342681735,-0.08154194592767694,0.0,0.0,0.0,0.0
random,i10o_simp,11,-0.01724688609260072,-0.028002891610095948,-0.01059275649949587,-0.010592287258762156,0.010676110967644589,0.0
random,i10o_simp,12,-0.008929284005521954,-0.01772952790764748,-0.013147194883271096,0.0,0.0,0.0
random,i10o_simp,13,-0.004709918999265206,-0.013780540209901049,-1.356774880190148e-05,0.0,0.0,0.0
random,i11o_s1,11,-0.0034172618481831396,-0.00018291621050381401,-5.8931595279920757e-05,-8.079341009725738e-05,0.0008659810294668613,0.0
random,i11o_s1,12,-0.002914951744037775,-6.152894274413789e-06,0.0,0.0,0.0,0.0
random,i11o_s1,13,-0.003300360834574523,-2.6065527293561708e-05,-1.595547742427872e-05,0.0,0.0,0.0
random,i14o_s7,11,0.0006006036124363012,0.0,0.0,0.0,0.0,0.0
random,i14o_s7,12,-1.9757739372128214e-05,0.0,0.0,0.0,0.0,0.0
random,i14o_s7,13,0.0028504875773508465,-0.0008545883406283483,3.715349273802904e-05,0.0,0.0,0.0
random,i17o_s20,11,0.0012060465921106545,0.0,0.0,0.0,0.0,0.0
random,i17o_s20,12,-0.005972968885645913,-0.010181905953059012,-0.009407868836093236,0.0,0.0,0.0
random,i17o_s20,13,-0.007266446329454612,-0.021764615110141272,-0.004263098818128808,0.0,0.0,0.0
random,n11o_limit_cycle,11,-0.00010843427788609361,0.0,0.0,0.0,0.0,0.0
random,n11o_limit_cycle,12,-0.0027826780741346813,0.0,0.0,0.0,0.0,0.0
random,n11o_limit_cycle,13,-0.011284013396394621,0.0,-0.023138677207710123,0.0,0.0,0.0
random,n12o_limit_cycle_genus0,11,-0.0003358308323806458,0.0,0.0,0.0,0.0,0.0
random,n12o_limit_cycle_genus0,12,-0.009584765312483978,-3.930680481833981e-05,-2.642053350854212e-05,-1.2296765983355051e-05,0.0,0.0
random,n12o_limit_cycle_genus0,13,0.0023204872211416427,0.0,0.0,0.0,0.0,0.0
random,s09o_bridge,11,0.0002398444624017726,0.0,0.0,0.0,0.0,0.0
random,s09o_bridge,12,-0.0006943592242572016,-9.465286612531099e-05,0.0,0.0,0.0,0.0
random,s09o_bridge,13,0.0017450884288937596,0.0,0.0,0.0,0.0,0.0
random,s12o_cube_rounded_1,11,0.0009143716391349921,0.0,0.0,0.0,0.0,0.0
random,s12o_cube_rounded_1,12,-0.007949209382657862,-0.0002982148441330601,-4.489796912032773e-07,0.0,0.0,0.0
random,s12o_cube_rounded_1,13,0.0018106216083749738,0.0006512498530933941,0.0,0.0,0.0,0.0
random,s13o_cube_rounded_2,11,0.0002354405597649878,0.0,0.0,0.0,0.0,0.0
random,s13o_cube_rounded_2,12,-0.014109734614739411,0.0,0.0,0.0,0.0,0.0
random,s13o_cube_rounded_2,13,0.0002704471485126536,4.712711349097454e-05,0.0,0.0,0.0,0.0
random,s14o_cube_corner_sub_sphere,11,-0.006708348778793116,0.0,-0.020295229373512025,0.0,0.0,0.0
random,s14o_cube_corner_sub_sphere,12,-0.010500086655349072,-0.022057785051491918,0.0,0.0,0.0,0.0
random,s14o_cube_corner_sub_sphere,13,-7.425007261419037e-05,0.0,0.0,0.0,0.0,0.0
random,s15o_cylinder,11,0.00020987939330641137,0.0,0.0,0.0,0.0,0.0
random,s15o_cylinder,12,-0.006381063100753037,-1.385433078593401e-06,0.0,0.0,0.0,0.0
random,s15o_cylinder,13,0.001675137666567017,0.0,0.0,0.0,0.0,0.0
parego,i01o_m1,11,0.01850650015828814,8.284360975185923e-05,0.0558052307636292,0.00988399342610824,-0.0018818619466308834,0.0
parego,i01o_m1,12,0.013204733753962139,0.03679259062093254,0.0032028398448510353,0.01988066615441586,0.010068477079536441,0.050000000000000044
parego,i01o_m1,13,-0.008892244544329797,-0.00034835738695560003,-0.018368210918457195,-0.001091084884550786,0.00036965295560990874,0.0
parego,i02o_m2,11,0.024418762307859998,0.03355964654984167,0.03111282105274582,0.0034928616346228125,-0.0032930358388192707,0.0
parego,i02o_m2,12,0.014634286738780533,0.03432400933760693,0.05413358826870629,-0.00561967162958632,0.0057041595464658425,0.0
parego,i02o_m2,13,-0.024908796866794036,-0.013237233539477478,-0.0022650740057228447,-0.041945634237456675,0.04182544392360234,0.0
parego,i03o_m3,11,0.04632176215204853,0.006718416063077992,0.05136253711297678,0.056901673420502896,-0.049402849757157474,0.04999999999999993
parego,i03o_m3,12,0.01763655671810338,0.02165083187354755,0.01309030680965717,-0.015343157669889473,0.002925639136104944,0.0
parego,i03o_m3,13,-0.009204880869457477,0.00563946483684552,-0.03443638225632384,0.010045409601878386,-0.005634227348390381,0.0
parego,i04o_m4,11,-0.015823925856000787,-0.015478719524327778,-0.040414363878116255,0.004273253594447302,-0.0034809695972225895,0.0
parego,i04o_m4,12,0.03326655232577025,0.033652755239137466,0.04444644795541586,0.04651595445929024,-0.0455054634220081,0.050000000000000044
parego,i04o_m4,13,-0.0033423050277849864,0.017994268961505466,0.02605792153186537,0.0006118652946303094,2.2628179600528257e-05,0.0
parego,i05o_m5,11,-0.015901143532973117,0.0006687027071845542,-0.04250512790215133,-0.00952693559772222,0.002810195860735579,0.0
parego,i05o_m5,12,-0.00026877728243068777,0.009901265519345226,-0.049573424136971855,0.01255588684817932,-0.019339560136378112,0.0
parego,i05o_m5,13,0.03030981616791717,-0.016975720470009392,0.034906822926961234,0.020239102311182533,-0.01410373660734791,0.0
parego,i06o_m6,11,-0.010528742696227389,0.0005628379695952201,-0.003257965895768322,0.0001115413275180055,-0.006796065861524889,0.0
parego,i06o_m6,12,-0.01848446219196398,-0.00532746945959528,0.020066969844619753,-0.054251145560053504,0.04026635282320906,0.0
parego,i06o_m6,13,-0.011651661232329413,-0.002480769182194531,-0.009253379884226698,-0.0516872223657171,0.04047880865823619,0.0
parego,i07o_m7,11,0.02793152650913311,0.009262676812275328,0.00030353273746452913,0.00499420367956338,-0.004553474693003552,0.09999999999999998
parego,i07o_m7,12,-0.008577480640553414,0.023298541673954953,0.005045640501094795,-0.01853060199376899,0.01813141745446341,0.050000000000000044
parego,i07o_m7,13,-0.029825976693029554,-0.007090858977356618,-0.043023351690660516,-0.042409600125711266,0.04118687055965519,0.0
parego,i08o_m8,11,-0.010788688480457775,0.0,-0.028979560248890923,-0.010431155196871655,0.003983117278727084,0.0
parego,i08o_m8,12,-0.024321643043160757,0.0,0.05322405649509987,0.014191254120502372,-0.0023713540114434486,-0.09999999999999998
parego,i08o_m8,13,-0.09141574153260046,-0.009525614519998116,-0.17793128151646187,-0.055064347044076145,0.04007828352818934,-0.09999999999999998
parego,i09o_m9,11,0.08019911164339988,0.031192553178983284,0.1132483220284699,0.036041346004100916,-0.03475010835771347,0.0
parego,i09o_m9,12,-0.020764987436621696,0.047222721588259464,-0.06543589561737007,0.022966717601336062,-0.022719224317572978,-0.050000000000000044
parego,i09o_m9,13,-0.031665566015224855,-0.12767339814897682,-0.018755435857946035,0.010124951164783291,-0.009882329156780409,0.0
parego,i10o_simp,11,-0.02342028509467675,-0.03622910162163928,-0.026332640819078046,-0.004222809714821585,0.00419102904702774,0.0
parego,i10o_simp,12,-0.005730682861665559,-0.0016603113875278686,-0.002888266692852026,-0.004057294303536185,0.004047607316608625,0.0
parego,i10o_simp,13,-0.008767512304518665,-0.0034103217678767006,-0.01408298564696664,-0.0007669163803726287,0.0007812056955494532,0.0
parego,i11o_s1,11,-0.005223694740346119,-0.00016380017875006203,-0.0018729409949895803,-0.008230858858619405,0.0014720992000235387,0.0
parego,i11o_s1,12,0.0018358697044469352,0.013992508954095983,1.4358180958295996e-05,0.0035288230513543795,-0.00030487478626778277,0.0
parego,i11o_s1,13,-0.00499648667612318,0.028660251849208063,-0.02219470309745364,-0.0048172048096494224,-0.0010524590766053544,0.0
parego,i14o_s7,11,-0.010367466219390553,0.0,-0.026009384812137326,-0.010777399250661013,0.0023555863461676763,0.0
parego,i14o_s7,12,-0.006839205043696728,0.0,-0.024631767219167267,0.0009625872325963458,-0.0005432846735213409,0.0
parego,i14o_s7,13,-8.702991086795286e-06,0.014412549874940006,0.00942892183580657,-0.011258870352920392,0.0043492377658128495,0.050000000000000044
parego,i17o_s20,11,-0.025373128786831733,-1.3304584944862086e-07,-0.057444211725043215,-0.04658572898845825,0.03993277938160988,-0.050000000000000044
parego,i17o_s20,12,0.017945807324768803,0.002266970479198105,0.021004108921182763,0.05045414547752214,-0.04389476088864388,0.050000000000000044
parego,i17o_s20,13,0.016696321193112595,0.014699494007926472,0.04713230333402785,0.005267384222854998,-0.004286289186382839,0.0
parego,n11o_limit_cycle,11,0.0005017878632128658,0.0,0.0,-1.6172983938744778e-06,1.4226403387426756e-05,0.0
parego,n11o_limit_cycle,12,-0.001292352082896131,0.0,0.0,0.0015452132799720353,-0.0015452132799720943,0.0
parego,n11o_limit_cycle,13,0.0044337050133361755,0.0,0.0050140581068416346,0.0048260466049614426,-0.0048260466049615,0.0
parego,n12o_limit_cycle_genus0,11,-0.00033833092056279046,0.0,0.0,-1.5409717861736283e-06,0.0,0.0
parego,n12o_limit_cycle_genus0,12,-0.02075654324709597,-0.0004496669359664862,-0.008137000569859332,-0.02055211521048883,0.020064388763132168,0.0
parego,n12o_limit_cycle_genus0,13,0.010345229961001401,0.0,0.0,0.0,0.0,0.0
parego,s09o_bridge,11,0.009637880741100169,0.0,0.0,0.026830328905755874,-0.026830328905755846,0.0
parego,s09o_bridge,12,0.008414933111626666,-9.465286612531099e-05,0.013953488372093092,0.013953488372093092,-0.013953488372093023,0.0
parego,s09o_bridge,13,-0.024795472396096252,1.6452379850706578e-06,-0.03167420814479638,-0.034155597722960174,0.034155597722960146,0.0
parego,s12o_cube_rounded_1,11,0.0029678372231882744,0.005561711849354056,0.005561711849354056,-0.010283815164672028,0.005462468134488684,0.0
parego,s12o_cube_rounded_1,12,-0.02528569008549686,-0.0002982148441330601,-0.04097914640476441,-0.010117663573237401,0.007414751240290649,0.0
parego,s12o_cube_rounded_1,13,-0.024269281157556888,0.00030488679360896054,-0.06440787355726807,-0.014952381799615555,0.00640604222266301,0.0
parego,s13o_cube_rounded_2,11,-0.0045142595397730245,0.0,-0.011855694142970385,-0.0015115438960113803,0.0013796184969107894,0.0
parego,s13o_cube_rounded_2,12,-0.012956351575384994,0.0,0.0,0.0023067631376979536,-0.0023025551132833874,0.0
parego,s13o_cube_rounded_2,13,-0.0011968478099101398,-0.05801567653041362,0.051162106017033415,0.006556737821409864,-0.006694591230261098,0.0
parego,s14o_cube_corner_sub_sphere,11,0.0005968230372159766,0.0,0.002905910055967187,-0.003520319567904995,0.00013862057481382056,0.0
parego,s14o_cube_corner_sub_sphere,12,-0.008302737650588199,0.0,-0.001866100850732133,-0.0020545613713068844,0.0018703616012764133,0.0
parego,s14o_cube_corner_sub_sphere,13,-0.004949312252196747,-0.0031867816917285907,-0.0031867816917285907,0.0,0.0,0.0
parego,s15o_cylinder,11,-0.0015517899959428538,0.0,-0.00011040806521800395,-0.0013769921792670115,0.0016044604752907046,0.0
parego,s15o_cylinder,12,-0.004078589326144133,-1.3746878363418702e-05,0.009765351972963354,-0.0018646239878757909,0.0018815762419018243,0.0
parego,s15o_cylinder,13,-0.007029475151138831,-0.029752272656274448,0.02695236595443873,-0.0300132139979562,0.0299949454820519,0.0
qlogehvi_mixed,i01o_m1,11,0.002609634710357689,-0.007048520037321593,-0.0011621363630998083,0.0008102771621262272,0.0007311519722606984,0.0
qlogehvi_mixed,i01o_m1,12,0.000658730108318184,0.006637026717182026,0.0,-0.00036205965617042146,0.024128700729648,0.0
qlogehvi_mixed,i01o_m1,13,-0.0021729511947619073,-0.03122732733812328,-0.006325517868287278,-0.000940670153548484,-0.00012338843313714626,0.0
qlogehvi_mixed,i02o_m2,11,0.0021896293475696105,0.014096706510772328,0.005430041733939239,0.007262721897867475,-0.005536949445871699,0.0
qlogehvi_mixed,i02o_m2,12,0.01982258819834337,0.033804616148000344,0.01747176471783385,0.0010331920915586101,-0.0009159553299744102,0.0
