optimizer,model_id,delta_hv_auc_mean,delta_hv_auc_sd,delta_hv_5_mean,delta_hv_10_mean,delta_hv_20_mean,delta_igd_final_mean,delta_valid_rate_mean
random,i01o_m1,0.0006853797014931088,0.003472659058238158,-7.1333028437795915e-06,0.002567945839760758,0.0,0.0,0.0
random,i02o_m2,0.00823384807947288,0.011064068399295595,0.011277232072342214,0.008601239730680424,7.645724642291185e-08,0.0,0.0
random,i03o_m3,0.009204267587072526,0.006965739019459395,0.007311593893799244,0.003989837895102914,4.6647335694149916e-07,0.0,0.0
random,i04o_m4,0.005439305949205238,0.012233404689977394,0.0019252207103423642,0.008766376600992443,8.42159086859399e-06,0.0,0.0
random,i05o_m5,0.00350415452883975,0.0012208746127684758,0.00652287831418256,0.0005005672317974034,8.649243608497652e-05,0.0,0.0
random,i06o_m6,-0.001366359258856975,0.0033664354088311353,-0.008220186695923911,-2.902427983767867e-06,0.0,0.0,0.0
random,i07o_m7,0.014955301590640993,0.01236323121348937,0.008958501996989813,0.008004539178506928,0.00021777010792164062,0.0,0.016666666666666646
random,i08o_m8,-0.0292387482861269,0.024288361975412117,0.0,0.0,-0.0392321508848843,0.036031879616053024,-0.050000000000000044
random,i09o_m9,0.002190360624987009,0.01953422002579947,-0.022982311305978647,9.955898754595202e-06,0.0,0.0,0.0
random,i10o_simp,-0.010295363032462626,0.006379146879146911,-0.01983765324254816,-0.007917839710522956,-0.0035307624195873855,0.0035587036558815295,0.0
random,i11o_s1,-0.003210858142265146,0.00026284388737347897,-7.171154402392983e-05,-2.496235756806649e-05,-2.6931136699085794e-05,0.00028866034315562045,0.0
random,i14o_s7,0.0011437778168050066,0.0015102502132962022,-0.00028486278020944944,1.2384497579343012e-05,0.0,0.0,0.0
random,i17o_s20,-0.004011122874329957,0.004564253926501092,-0.010648840354400094,-0.004556989218074015,0.0,0.0,0.0
random,n11o_limit_cycle,-0.004725041916138466,0.005835492706666142,0.0,-0.007712892402570041,0.0,0.0,0.0
random,n12o_limit_cycle_genus0,-0.0025333696412409936,0.006249451342692839,-1.3102268272779938e-05,-8.806844502847374e-06,-4.0989219944516835e-06,0.0,0.0
random,s09o_bridge,0.0004301912223461102,0.001230812792378237,-3.155095537510366e-05,0.0,0.0,0.0,0.0
random,s12o_cube_rounded_1,-0.0017414053783826322,0.005394760320761466,0.00011767833632011133,-1.496598970677591e-07,0.0,0.0,0.0
random,s13o_cube_rounded_2,-0.004534615635487256,0.008292314753157894,1.5709037830324846e-05,0.0,0.0,0.0,0.0
random,s14o_cube_corner_sub_sphere,-0.005760895168918793,0.005277098480189767,-0.0073525950171639725,-0.006765076457837342,0.0,0.0,0.0
random,s15o_cylinder,-0.0014986820136265362,0.00429126779189875,-4.6181102619780035e-07,0.0,0.0,0.0,0.0
parego,i01o_m1,0.007606329789306828,0.014532012869296871,0.012175692281242934,0.013546619896674347,0.009557858231991104,0.0028520893628384888,0.01666666666666668
parego,i02o_m2,0.004714750726615498,0.026117042703084285,0.018215474115990376,0.027660445105243087,-0.01469081474414006,0.014745522543749638,0.0
parego,i03o_m3,0.018251146000231477,0.0277684229170243,0.01133623759115702,0.01000548722210337,0.017201308450830604,-0.01737047932314764,0.016666666666666646
parego,i04o_m4,0.004700107147328159,0.0255142912350028,0.012056101558771718,0.010030001869721658,0.017133691116122618,-0.016321268279876722,0.01666666666666668
parego,i05o_m5,0.004713298450837788,0.023504872007274226,-0.0021352507478265372,-0.019057243037387317,0.007756017853879878,-0.010211033627663482,0.0
parego,i06o_m6,-0.013554955373506927,0.004305840755832862,-0.002415133557398197,0.002518541354874911,-0.0352756088660842,0.024649698539973453,0.0
parego,i07o_m7,-0.0034906436081499534,0.029212826417220075,0.008490119836291221,-0.012558059484033731,-0.01864866614663896,0.018254937773705016,0.05000000000000001
parego,i08o_m8,-0.04217535768540633,0.043176923997238485,-0.0031752048399993718,-0.05122892842341764,-0.017101416040148476,0.013896682265157658,-0.06666666666666665
parego,i09o_m9,0.00925618606385111,0.06167965361994279,-0.016419374460578024,0.009685663517717935,0.02304433825674009,-0.022450553944022286,-0.01666666666666668
parego,i10o_simp,-0.012639493420286993,0.009459105936143677,-0.013766578259014617,-0.014434631052965571,-0.003015673466243466,0.003006614019728606,0.0
parego,i11o_s1,-0.002794770570674121,0.004011860901662954,0.014162986874851327,-0.008017761970494974,-0.0031730802056381493,3.8255112383467176e-05,0.0
parego,i14o_s7,-0.005738458084724692,0.005266377009460979,0.004804183291646669,-0.013737410065166008,-0.007024560790328353,0.002053846479486395,0.01666666666666668
parego,i17o_s20,0.0030896665770165552,0.02465741965091903,0.005655443813758376,0.003564066843389132,0.0030452669039729616,-0.00274942356447228,0.0
parego,n11o_limit_cycle,0.00121438026455097,0.002928783606749002,0.0,0.0016713527022805448,0.002123214195513201,-0.0021190111605153892,0.0
parego,n12o_limit_cycle_genus0,-0.0035832147355524535,0.01580275379171514,-0.00014988897865549541,-0.002712333523286444,-0.006851218727425001,0.006688129587710722,0.0
parego,s09o_bridge,-0.0022475528477898057,0.01953664267968741,-3.100254271341344e-05,-0.005906906590901095,0.002209406518296264,-0.002209406518296241,0.0
parego,s12o_cube_rounded_1,-0.015529044673288491,0.01602682912170578,0.001856127932943319,-0.033275102704226144,-0.011784620179174995,0.006427753865814114,0.0
parego,s13o_cube_rounded_2,-0.006222486308356053,0.006063003481957769,-0.019338558843471205,0.013102137291354343,0.002450652354365479,-0.002539175948877899,0.0
parego,s14o_cube_corner_sub_sphere,-0.004218408955189656,0.0044945756007836,-0.0010622605639095302,-0.0007156574954978456,-0.0018582936464039597,0.0006696607253634112,0.0
