model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i01o_m1,parego,11,19,1,0.95,0.8796016012689977,0.9164755132840604,0.043617684045935516,0.02689437731122198,0.8480566418961233,0.8692494806094183,0.9164755132840604,71.40056829999958,1,0
i01o_m1,parego,12,19,1,0.95,0.8698234547151141,0.9071795631731352,0.04331690163136053,0.014725052863034245,0.8174773244135647,0.8692494806094183,0.9071795631731352,70.02492179999535,1,0
i01o_m1,parego,13,20,0,1.0,0.895159978191848,0.9273316394412836,0.0350324634210008,0.024714319307920313,0.8583237623601202,0.9133516525747865,0.9273316394412836,84.55874880001647,0,0
i01o_m1,parego_seed,11,19,1,0.95,0.8981081014272858,0.9263595067101686,0.03668192097531915,0.025012515364591096,0.8481394855058751,0.9250547113730475,0.9263595067101686,80.61578079998435,1,0
i01o_m1,parego_seed,12,20,0,1.0,0.8830281884690763,0.927060229327551,0.04264095349512649,0.024793529942570686,0.8542699150344972,0.8724523204542693,0.927060229327551,84.87969800003339,0,0
i01o_m1,parego_seed,13,20,0,1.0,0.8862677336475182,0.9262405545567328,0.036645710021933064,0.02508397226353022,0.8579754049731646,0.8949834416563293,0.9262405545567328,85.8285360000009,0,0
i01o_m1,qlogehvi_mixed,11,19,1,0.95,0.9025865627782331,0.9285213035492565,0.0352436637670161,0.023289098116556536,0.8652503483043835,0.9285213035492565,0.9285213035492565,100.63898320001317,1,0
i01o_m1,qlogehvi_mixed,12,20,0,1.0,0.8936625700939996,0.9296912600958993,0.032676567740589406,0.0006843112908583083,0.8191029298368563,0.9293292004397289,0.9296912600958993,110.10648789996048,0,0
i01o_m1,qlogehvi_mixed,13,20,0,1.0,0.8924741502849632,0.9303601421798359,0.0394752912911541,0.02372621562391074,0.8557701205856544,0.9293292004397289,0.9303601421798359,108.76425280002877,0,0
i01o_m1,qlogehvi_mixed_seed,11,19,1,0.95,0.9051961974885908,0.9293315807113828,0.03358396895313607,0.024020250088817235,0.8582018282670619,0.9273591671861567,0.9293315807113828,133.64600110000174,1,0
i01o_m1,qlogehvi_mixed_seed,12,20,0,1.0,0.8943213002023178,0.9293292004397289,0.04197418262713216,0.02481301202050631,0.8257399565540383,0.9293292004397289,0.9293292004397289,148.3990934000176,0,0
i01o_m1,qlogehvi_mixed_seed,13,20,0,1.0,0.8903011990902013,0.9294194720262874,0.04012300724718044,0.023602827190773595,0.8245427932475311,0.9230036825714416,0.9294194720262874,141.67295749996265,0,0
i01o_m1,random,11,19,1,0.95,0.8763479833735592,0.8901624210070413,0.03692817739440557,0.026332976382696622,0.8480566418961233,0.8901615049582933,0.8901624210070413,130.87015070002235,1,0
i01o_m1,random,12,19,1,0.95,0.8260940672042063,0.8468623765776677,0.07828274881202667,0.05794192099992727,0.8174421577108459,0.8194970952848307,0.8468623765776677,137.53071610000916,1,0
i01o_m1,random,13,19,1,0.95,0.8604183064335259,0.9005240073155082,0.05198421415209606,0.033408532764526405,0.8320483279695633,0.8509912414496259,0.9005240073155082,140.9195619999955,1,0
i01o_m1,random_seed,11,19,1,0.95,0.8756404340363444,0.8901624210070413,0.03730935560439512,0.026332976382696622,0.8480566418961233,0.8901615049582933,0.8901624210070413,78.0862305999326,1,0
